product,handle,category,n,scene,industries,prompt
Black PVC Electrical Tape – Pack of 10,black-electrical-tape,pvc-electrical-insulation-tape,3,Conduit run,"Airconditioning Refrigeration Tapes, Electronics & Electrical","hands taping a joint on an electrical conduit run against a plasterboard wall stud during a fit-out, offcuts and a cordless driver on the floor below; bright construction daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Red PVC Electrical Tape – Pack of 10,red-electrical-tape,pvc-electrical-insulation-tape,1,Cable joint,"Airconditioning Refrigeration Tapes, Electronics & Electrical","a licensed electrician's hands wrapping black PVC insulation tape tightly around a spliced copper cable joint, the spiral overlap crisp and even; blurred switchboard and cable loom behind, cool task lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Red PVC Electrical Tape – Pack of 10,red-electrical-tape,pvc-electrical-insulation-tape,2,Colour-coded switchboard,"Airconditioning Refrigeration Tapes, Electronics & Electrical","a distribution board with neatly dressed cables, several conductors identified with bands of red, blue and yellow PVC tape; sharp focus on the tape bands, breaker rows softly out of focus. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Red PVC Electrical Tape – Pack of 10,red-electrical-tape,pvc-electrical-insulation-tape,3,Conduit run,"Airconditioning Refrigeration Tapes, Electronics & Electrical","hands taping a joint on an electrical conduit run against a plasterboard wall stud during a fit-out, offcuts and a cordless driver on the floor below; bright construction daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Yellow PVC Electrical Tape – Pack of 10,yellow-insulation-tape,pvc-electrical-insulation-tape,1,Cable joint,"Airconditioning Refrigeration Tapes, Electronics & Electrical","a licensed electrician's hands wrapping black PVC insulation tape tightly around a spliced copper cable joint, the spiral overlap crisp and even; blurred switchboard and cable loom behind, cool task lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Yellow PVC Electrical Tape – Pack of 10,yellow-insulation-tape,pvc-electrical-insulation-tape,2,Colour-coded switchboard,"Airconditioning Refrigeration Tapes, Electronics & Electrical","a distribution board with neatly dressed cables, several conductors identified with bands of red, blue and yellow PVC tape; sharp focus on the tape bands, breaker rows softly out of focus. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Yellow PVC Electrical Tape – Pack of 10,yellow-insulation-tape,pvc-electrical-insulation-tape,3,Conduit run,"Airconditioning Refrigeration Tapes, Electronics & Electrical","hands taping a joint on an electrical conduit run against a plasterboard wall stud during a fit-out, offcuts and a cordless driver on the floor below; bright construction daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Green PVC Electrical Tape – Pack of 10,green-insulation-tape,pvc-electrical-insulation-tape,1,Cable joint,"Airconditioning Refrigeration Tapes, Electronics & Electrical","a licensed electrician's hands wrapping black PVC insulation tape tightly around a spliced copper cable joint, the spiral overlap crisp and even; blurred switchboard and cable loom behind, cool task lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Green PVC Electrical Tape – Pack of 10,green-insulation-tape,pvc-electrical-insulation-tape,2,Colour-coded switchboard,"Airconditioning Refrigeration Tapes, Electronics & Electrical","a distribution board with neatly dressed cables, several conductors identified with bands of red, blue and yellow PVC tape; sharp focus on the tape bands, breaker rows softly out of focus. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Green PVC Electrical Tape – Pack of 10,green-insulation-tape,pvc-electrical-insulation-tape,3,Conduit run,"Airconditioning Refrigeration Tapes, Electronics & Electrical","hands taping a joint on an electrical conduit run against a plasterboard wall stud during a fit-out, offcuts and a cordless driver on the floor below; bright construction daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Duct Tape Silver 48mm x 30m,pvc-duct-tape-silver,duct-tape,1,Field repair,"Airconditioning Refrigeration Tapes, Flooring","a worker taping a temporary repair on a piece of site equipment with heavy cloth duct tape; bright outdoor daylight, rugged setting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Duct Tape Silver 48mm x 30m,pvc-duct-tape-silver,duct-tape,2,Ducting join,"Airconditioning Refrigeration Tapes, Flooring","duct tape wrapped around a flexible ducting connection in a ceiling space; work light raking across the ribbed surface. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Duct Tape Silver 48mm x 30m,pvc-duct-tape-silver,duct-tape,3,Hand tear,"Airconditioning Refrigeration Tapes, Flooring","an extreme close-up of duct tape being torn by hand, the fabric scrim fraying at the tear line; dramatic dark-background lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Duct Tape Black 48mm x 30m,pvc-duct-tape-black,__default__,1,In use on the bench,"Airconditioning Refrigeration Tapes, Building & Construction","a tradesperson's hands applying the tape to a plain workpiece on a clean workbench, offcuts and simple hand tools around; bright even workshop lighting, shallow depth of field. Set it in a Airconditioning Refrigeration Tapes, Building & Construction context. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Duct Tape Black 48mm x 30m,pvc-duct-tape-black,__default__,2,On site,"Airconditioning Refrigeration Tapes, Building & Construction","the tape in use in a real Australian trade setting appropriate to the product, applied cleanly to the substrate; natural daylight, working context visible but softly out of focus. Set it in a Airconditioning Refrigeration Tapes, Building & Construction context. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
PVC Duct Tape Black 48mm x 30m,pvc-duct-tape-black,__default__,3,Macro detail,"Airconditioning Refrigeration Tapes, Building & Construction","an extreme macro of the tape being pressed onto its substrate, showing the adhesive contact line and surface texture; dramatic raking light, dark background. Set it in a Airconditioning Refrigeration Tapes, Building & Construction context. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Printed Danger Do Not Enter Barricade Tape Red/White 75mm x 100m,do-not-enter-tape,barricade-hazard-tapes,1,Site cordon,Solar Energy,"red and white hazard barricade tape strung between two steel star pickets across a construction excavation, tape lifting slightly in the breeze; overcast daylight, site machinery blurred behind. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Printed Danger Do Not Enter Barricade Tape Red/White 75mm x 100m,do-not-enter-tape,barricade-hazard-tapes,2,Trip hazard,Solar Energy,"yellow and black hazard tape marking off a section of wet polished concrete floor in a warehouse, wet-floor sheen visible; cool overhead lighting. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Printed Danger Do Not Enter Barricade Tape Red/White 75mm x 100m,do-not-enter-tape,barricade-hazard-tapes,3,Roll in hand,Solar Energy,"a site supervisor in hi-vis unrolling barricade tape along a temporary walkway, gloved hands sharp, tape stretching away out of focus; bright daylight. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
House Wrap Sealing Tape- Kikusui,house-wrap-tape,specialty-tape,1,Precision bench,"Building & Construction, Framing & Insulation","a technician applying a narrow strip of specialist tape to a precision component on a clean workbench, tweezers in hand; bright even task lighting, shallow depth of field. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
House Wrap Sealing Tape- Kikusui,house-wrap-tape,specialty-tape,2,Industrial line,"Building & Construction, Framing & Insulation","the tape in use on a production line, applied to a plain component moving along a conveyor; cool factory lighting, motion softly implied. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
House Wrap Sealing Tape- Kikusui,house-wrap-tape,specialty-tape,3,Macro adhesive,"Building & Construction, Framing & Insulation","an extreme macro of the tape's edge lifting from a smooth substrate, the adhesive stringing slightly; dramatic directional light, dark background. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
UHMW Tape/ Slick Surface Tape,uhmw-tape-slick-surface-tape,specialty-tape,1,Precision bench,,"a technician applying a narrow strip of specialist tape to a precision component on a clean workbench, tweezers in hand; bright even task lighting, shallow depth of field. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
UHMW Tape/ Slick Surface Tape,uhmw-tape-slick-surface-tape,specialty-tape,2,Industrial line,,"the tape in use on a production line, applied to a plain component moving along a conveyor; cool factory lighting, motion softly implied. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
UHMW Tape/ Slick Surface Tape,uhmw-tape-slick-surface-tape,specialty-tape,3,Macro adhesive,,"an extreme macro of the tape's edge lifting from a smooth substrate, the adhesive stringing slightly; dramatic directional light, dark background. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Fly Screen Repair Tape,fly-screen-repair-tape,specialty-tape,1,Precision bench,,"a technician applying a narrow strip of specialist tape to a precision component on a clean workbench, tweezers in hand; bright even task lighting, shallow depth of field. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Fly Screen Repair Tape,fly-screen-repair-tape,specialty-tape,2,Industrial line,,"the tape in use on a production line, applied to a plain component moving along a conveyor; cool factory lighting, motion softly implied. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Fly Screen Repair Tape,fly-screen-repair-tape,specialty-tape,3,Macro adhesive,,"an extreme macro of the tape's edge lifting from a smooth substrate, the adhesive stringing slightly; dramatic directional light, dark background. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Hook Loop Roll High Temp (Acrylic),hook-loop-roll-high-temp,hook-loop-tapes,1,Cable management,Display Signage,"a close-up of a person's hands wrapping a bundle of black and grey cables beneath a modern office desk, cinching them with a strip of plain black hook-and-loop fastener; polished concrete floor and a chair caster softly out of focus behind. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
Hook Loop Roll High Temp (Acrylic),hook-loop-roll-high-temp,hook-loop-tapes,2,Exhibition panel,Display Signage,"a trade-show technician pressing a lightweight fabric display panel onto an aluminium frame upright, a strip of plain black hook-and-loop fastener visible along the frame edge; bright even exhibition-hall lighting, other booths blurred far behind. The tape itself is the hero of the image and is shown plain and unbranded. Photorealistic commercial product photography. Full-frame camera, 50mm lens for scene shots and 100mm macro for detail shots, f/4, sharp focus on the point of application with the background falling away softly. Natural colour, realistic material response, true-to-life scale. Hands, where shown, are anatomically correct with five fingers and clean, unmanicured working nails. ABSOLUTELY NO TEXT of any kind: no letters, words, numbers, logos, brand names, printed labels, barcodes, packaging copy, signage text, watermarks or UI overlays anywhere in the frame. Every tape roll, carton, panel, tool and surface is completely blank and unbranded. No invented lettering, no partial or garbled characters. Avoid: extra fingers, malformed hands, floating objects, duplicated tools, plastic-looking skin, HDR halos, heavy vignette, oversaturation."
